id,date,document,metadata.cycle_number,metadata.data_type,metadata.date,metadata.float_wmo_id,metadata.latitude,metadata.longitude,metadata.profile_id,metadata.source,metadata.type
profile:142537,2024-07-01 07:56:17,"ARGO profile 80 of float 27129 on 2024-07-01 07:56:17 at (-2.393, 69.291). Temperature range 6.60–29.98 °C. Salinity range 34.86–35.27 PSU. Max pressure 994.2 dbar.",80,oceanographic,2024-07-01 07:56:17,27129,-2.3931370000000003,69.29104416666668,142537,postgresql,profile_summary
profile:142534,2024-07-01 08:11:42,"ARGO profile 29 of float 27129 on 2024-07-01 08:11:42 at (-65.893, 88.462). Temperature range -1.89–-1.88 °C. Salinity range 34.32–34.34 PSU. Max pressure 306.1 dbar.",29,oceanographic,2024-07-01 08:11:42,27129,-65.89337603800692,88.46229647550227,142534,postgresql,profile_summary
profile:142528,2024-07-01 08:32:32,"ARGO profile 274 of float 27129 on 2024-07-01 08:32:32 at (-49.920, 96.162). Temperature range 1.88–5.12 °C. Salinity range 33.88–34.78 PSU. Max pressure 1973.9 dbar.",274,oceanographic,2024-07-01 08:32:32,27129,-49.92,96.162,142528,postgresql,profile_summary
profile:142526,2024-07-01 08:43:30,"ARGO profile 51 of float 27129 on 2024-07-01 08:43:30 at (-55.301, 91.538). Temperature range 1.17–2.70 °C. Salinity range 33.86–34.74 PSU. Max pressure 2017.7 dbar.",51,oceanographic,2024-07-01 08:43:30,27129,-55.301208333333335,91.53755,142526,postgresql,profile_summary
profile:142523,2024-07-01 08:44:30,"ARGO profile 200 of float 27129 on 2024-07-01 08:44:30 at (12.741, 58.664). Temperature range 3.44–28.06 °C. Salinity range 35.52–36.74 PSU. Max pressure 2006.7 dbar.",200,oceanographic,2024-07-01 08:44:30,27129,12.741013333333331,58.66401833333333,142523,postgresql,profile_summary
profile:142520,2024-07-01 08:45:30,"ARGO profile 196 of float 27129 on 2024-07-01 08:45:30 at (23.024, 61.578). Temperature range 3.48–30.80 °C. Salinity range 34.87–36.81 PSU. Max pressure 1987.9 dbar.",196,oceanographic,2024-07-01 08:45:30,27129,23.024286666666665,61.57828666666666,142520,postgresql,profile_summary
profile:142516,2024-07-01 08:50:30,"ARGO profile 51 of float 27129 on 2024-07-01 08:50:30 at (-61.077, 79.200). Temperature range -0.85–2.12 °C. Salinity range 33.87–34.75 PSU. Max pressure 1977.3 dbar.",51,oceanographic,2024-07-01 08:50:30,27129,-61.07679,79.20017666666666,142516,postgresql,profile_summary
profile:142513,2024-07-01 08:51:30,"ARGO profile 196 of float 27129 on 2024-07-01 08:51:30 at (23.985, 59.418). Temperature range 3.06–32.46 °C. Salinity range 34.84–36.99 PSU. Max pressure 2011.1 dbar.",196,oceanographic,2024-07-01 08:51:30,27129,23.984741666666668,59.41815833333333,142513,postgresql,profile_summary
profile:142508,2024-07-01 08:56:30,"ARGO profile 200 of float 27129 on 2024-07-01 08:56:30 at (13.426, 47.865). Temperature range 3.41–28.85 °C. Salinity range 34.87–36.14 PSU. Max pressure 1986.9 dbar.",200,oceanographic,2024-07-01 08:56:30,27129,13.425956666666666,47.86523833333333,142508,postgresql,profile_summary
profile:142504,2024-07-01 10:04:17,"ARGO profile 15 of float 27129 on 2024-07-01 10:04:17 at (-58.266, 119.567). Temperature range 0.55–2.30 °C. Salinity range 33.92–34.74 PSU. Max pressure 1599.7 dbar.",15,oceanographic,2024-07-01 10:04:17,27129,-58.2655,119.5674,142504,postgresql,profile_summary
profile:142486,2024-07-01 10:29:20,"ARGO profile 122 of float 27129 on 2024-07-01 10:29:20 at (-42.393, 77.667). Temperature range 2.55–12.46 °C. Salinity range 34.31–35.08 PSU. Max pressure 2007.8 dbar.",122,oceanographic,2024-07-01 10:29:20,27129,-42.393188333333335,77.66706166666667,142486,postgresql,profile_summary
profile:142484,2024-07-01 10:38:44,"ARGO profile 59 of float 27129 on 2024-07-01 10:38:44 at (-4.523, 85.449). Temperature range 2.74–29.84 °C. Salinity range 34.69–35.22 PSU. Max pressure 2011.6 dbar.",59,oceanographic,2024-07-01 10:38:44,27129,-4.52286,85.44937,142484,postgresql,profile_summary
profile:142483,2024-07-01 11:26:43,"ARGO profile 24 of float 27129 on 2024-07-01 11:26:43 at (-67.037, 83.921). Temperature range -1.88–-0.54 °C. Salinity range 34.26–34.54 PSU. Max pressure 779.9 dbar.",24,oceanographic,2024-07-01 11:26:43,27129,-67.03717304305486,83.9210555117128,142483,postgresql,profile_summary
profile:142481,2024-07-01 11:40:46,"ARGO profile 120 of float 27129 on 2024-07-01 11:40:46 at (-21.841, 70.759). Temperature range 2.35–24.76 °C. Salinity range 34.45–35.72 PSU. Max pressure 1998.2 dbar.",120,oceanographic,2024-07-01 11:40:46,27129,-21.8408,70.7587,142481,postgresql,profile_summary
profile:142480,2024-07-01 13:31:30,"ARGO profile 156 of float 27129 on 2024-07-01 13:31:30 at (-60.614, 133.870). Temperature range 0.61–2.40 °C. Salinity range 33.94–34.74 PSU. Max pressure 2001.2 dbar.",156,oceanographic,2024-07-01 13:31:30,27129,-60.614,133.87,142480,postgresql,profile_summary
profile:142478,2024-07-01 13:43:59,"ARGO profile 166 of float 27129 on 2024-07-01 13:43:59 at (-62.417, 99.484). Temperature range -0.83–1.74 °C. Salinity range 34.04–34.74 PSU. Max pressure 1985.7 dbar.",166,oceanographic,2024-07-01 13:43:59,27129,-62.41725158691406,99.484375,142478,postgresql,profile_summary
profile:142477,2024-07-01 13:53:33,"ARGO profile 26 of float 27129 on 2024-07-01 13:53:33 at (12.617, 67.717). Temperature range 2.93–29.62 °C. Salinity range 34.82–36.55 PSU. Max pressure 2032.2 dbar.",26,oceanographic,2024-07-01 13:53:33,27129,12.616666666666667,67.71666666666667,142477,postgresql,profile_summary
profile:142476,2024-07-01 13:56:20,"ARGO profile 129 of float 27129 on 2024-07-01 13:56:20 at (-62.524, 43.719). Temperature range -1.39–1.80 °C. Salinity range 33.89–34.74 PSU. Max pressure 2017.8 dbar.",129,oceanographic,2024-07-01 13:56:20,27129,-62.52431546726349,43.71948664335379,142476,postgresql,profile_summary
profile:142475,2024-07-01 13:58:25,"ARGO profile 16 of float 27129 on 2024-07-01 13:58:25 at (-1.933, 72.833). Temperature range 2.76–30.31 °C. Salinity range 34.78–35.28 PSU. Max pressure 2031.5 dbar.",16,oceanographic,2024-07-01 13:58:25,27129,-1.9333333333333331,72.83333333333333,142475,postgresql,profile_summary
profile:142473,2024-07-01 13:59:47,"ARGO profile 196 of float 27129 on 2024-07-01 13:59:47 at (-55.887, 106.672). Temperature range 1.20–2.53 °C. Salinity range 33.94–34.84 PSU. Max pressure 2016.0 dbar.",196,oceanographic,2024-07-01 13:59:47,27129,-55.88741,106.67246,142473,postgresql,profile_summary
profile:142472,2024-07-01 14:07:47,"ARGO profile 144 of float 27129 on 2024-07-01 14:07:47 at (-42.895, 116.052). Temperature range 2.56–11.15 °C. Salinity range 34.33–34.78 PSU. Max pressure 2003.8 dbar.",144,oceanographic,2024-07-01 14:07:47,27129,-42.8952,116.0523,142472,postgresql,profile_summary
profile:142471,2024-07-01 14:12:09,"ARGO profile 16 of float 27129 on 2024-07-01 14:12:09 at (-44.385, 103.915). Temperature range 2.58–11.63 °C. Salinity range 34.32–34.94 PSU. Max pressure 2005.7 dbar.",16,oceanographic,2024-07-01 14:12:09,27129,-44.38521,103.91491,142471,postgresql,profile_summary
profile:142469,2024-07-01 14:24:40,"ARGO profile 66 of float 27129 on 2024-07-01 14:24:40 at (-9.398, 54.971). Temperature range 2.49–27.74 °C. Salinity range 34.40–35.19 PSU. Max pressure 2036.1 dbar.",66,oceanographic,2024-07-01 14:24:40,27129,-9.397823333333331,54.971228333333336,142469,postgresql,profile_summary
profile:142466,2024-07-01 14:44:30,"ARGO profile 33 of float 27129 on 2024-07-01 14:44:30 at (-1.360, 83.764). Temperature range 2.64–30.63 °C. Salinity range 34.15–35.31 PSU. Max pressure 1996.0 dbar.",33,oceanographic,2024-07-01 14:44:30,27129,-1.3598,83.76367666666667,142466,postgresql,profile_summary
profile:142464,2024-07-01 14:49:49,"ARGO profile 39 of float 27129 on 2024-07-01 14:49:49 at (-0.565, 60.718). Temperature range 2.75–29.56 °C. Salinity range 34.77–35.29 PSU. Max pressure 2009.8 dbar.",39,oceanographic,2024-07-01 14:49:49,27129,-0.56545,60.71797,142464,postgresql,profile_summary
profile:142463,2024-07-01 15:44:36,"ARGO profile 133 of float 27129 on 2024-07-01 15:44:36 at (-60.366, 50.133). Temperature range -0.77–1.96 °C. Salinity range 33.79–34.74 PSU. Max pressure 2006.6 dbar.",133,oceanographic,2024-07-01 15:44:36,27129,-60.36559,50.13286,142463,postgresql,profile_summary
profile:142461,2024-07-01 15:58:49,"ARGO profile 211 of float 27129 on 2024-07-01 15:58:49 at (-34.928, 35.618). Temperature range 2.89–19.66 °C. Salinity range 34.42–35.69 PSU. Max pressure 2001.4 dbar.",211,oceanographic,2024-07-01 15:58:49,27129,-34.92773,35.61805,142461,postgresql,profile_summary
profile:142460,2024-07-01 15:59:55,"ARGO profile 141 of float 27129 on 2024-07-01 15:59:55 at (-30.474, 86.528). Temperature range 2.40–17.76 °C. Salinity range 34.37–35.68 PSU. Max pressure 1998.1 dbar.",141,oceanographic,2024-07-01 15:59:55,27129,-30.474,86.528,142460,postgresql,profile_summary
profile:142459,2024-07-01 16:47:23,"ARGO profile 159 of float 27129 on 2024-07-01 16:47:23 at (-36.683, 95.498). Temperature range 2.52–15.45 °C. Salinity range 34.35–35.52 PSU. Max pressure 1948.7 dbar.",159,oceanographic,2024-07-01 16:47:23,27129,-36.6834,95.4984,142459,postgresql,profile_summary
profile:142458,2024-07-01 17:05:25,"ARGO profile 279 of float 27129 on 2024-07-01 17:05:25 at (-20.229, 68.023). Temperature range 2.67–24.21 °C. Salinity range 34.51–35.65 PSU. Max pressure 1900.3 dbar.",279,oceanographic,2024-07-01 17:05:25,27129,-20.229,68.023,142458,postgresql,profile_summary
profile:142457,2024-07-01 17:16:10,"ARGO profile 57 of float 27129 on 2024-07-01 17:16:10 at (-63.593, 108.332). Temperature range -1.76–1.49 °C. Salinity range 34.23–34.72 PSU. Max pressure 1995.7 dbar.",57,oceanographic,2024-07-01 17:16:10,27129,-63.592559814453125,108.33224487304688,142457,postgresql,profile_summary
profile:142456,2024-07-01 17:36:20,"ARGO profile 12 of float 27129 on 2024-07-01 17:36:20 at (-30.267, 89.927). Temperature range 2.43–19.42 °C. Salinity range 34.41–35.97 PSU. Max pressure 2015.4 dbar.",12,oceanographic,2024-07-01 17:36:20,27129,-30.266515,89.92659666666667,142456,postgresql,profile_summary
profile:142455,2024-07-01 17:41:49,"ARGO profile 132 of float 27129 on 2024-07-01 17:41:49 at (-56.785, 46.811). Temperature range 0.44–2.05 °C. Salinity range 33.86–34.74 PSU. Max pressure 2013.2 dbar.",132,oceanographic,2024-07-01 17:41:49,27129,-56.78465,46.81101,142455,postgresql,profile_summary
profile:142454,2024-07-01 17:53:12,"ARGO profile 21 of float 27129 on 2024-07-01 17:53:12 at (-38.038, 24.411). Temperature range 2.81–19.59 °C. Salinity range 34.33–35.45 PSU. Max pressure 1997.7 dbar.",21,oceanographic,2024-07-01 17:53:12,27129,-38.0375,24.4108,142454,postgresql,profile_summary
profile:142453,2024-07-01 18:07:34,"ARGO profile 202 of float 27129 on 2024-07-01 18:07:34 at (-30.182, 44.700). Temperature range 2.90–23.36 °C. Salinity range 34.90–36.20 PSU. Max pressure 2001.6 dbar.",202,oceanographic,2024-07-01 18:07:34,27129,-30.18248,44.69966,142453,postgresql,profile_summary
profile:142452,2024-07-01 18:15:15,"ARGO profile 251 of float 27129 on 2024-07-01 18:15:15 at (-46.425, 84.538). Temperature range 3.89–11.58 °C. Salinity range 34.33–34.97 PSU. Max pressure 903.4 dbar.",251,oceanographic,2024-07-01 18:15:15,27129,-46.42544,84.53774,142452,postgresql,profile_summary
profile:142451,2024-07-01 18:40:18,"ARGO profile 223 of float 27129 on 2024-07-01 18:40:18 at (13.164, 48.414). Temperature range 3.36–26.22 °C. Salinity range 34.90–36.10 PSU. Max pressure 2011.3 dbar.",223,oceanographic,2024-07-01 18:40:18,27129,13.1636,48.4136,142451,postgresql,profile_summary
profile:142450,2024-07-01 18:52:50,"ARGO profile 224 of float 27129 on 2024-07-01 18:52:50 at (5.966, 51.433). Temperature range 3.38–27.94 °C. Salinity range 34.85–35.78 PSU. Max pressure 1948.0 dbar.",224,oceanographic,2024-07-01 18:52:50,27129,5.9656,51.4334,142450,postgresql,profile_summary
profile:142449,2024-07-01 19:00:00,"ARGO profile 8 of float 27129 on 2024-07-01 19:00:00 at (4.569, 88.079). Temperature range 2.64–29.11 °C. Salinity range 34.01–35.33 PSU. Max pressure 2031.6 dbar.",8,oceanographic,2024-07-01 19:00:00,27129,4.568856666666667,88.079145,142449,postgresql,profile_summary
profile:142448,2024-07-01 19:18:44,"ARGO profile 46 of float 27129 on 2024-07-01 19:18:44 at (-40.072, 51.858). Temperature range 2.48–13.99 °C. Salinity range 34.37–35.15 PSU. Max pressure 2009.0 dbar.",46,oceanographic,2024-07-01 19:18:44,27129,-40.07241,51.85793,142448,postgresql,profile_summary
profile:142447,2024-07-01 19:42:30,"ARGO profile 58 of float 27129 on 2024-07-01 19:42:30 at (-35.731, 86.017). Temperature range 2.55–14.47 °C. Salinity range 34.36–35.17 PSU. Max pressure 2012.9 dbar.",58,oceanographic,2024-07-01 19:42:30,27129,-35.73149,86.016755,142447,postgresql,profile_summary
profile:142446,2024-07-01 20:17:00,"ARGO profile 28 of float 27129 on 2024-07-01 20:17:00 at (-68.062, 71.240). Temperature range -1.91–-1.89 °C. Salinity range 34.48–34.55 PSU. Max pressure 515.6 dbar.",28,oceanographic,2024-07-01 20:17:00,27129,-68.06184996044924,71.23967683946039,142446,postgresql,profile_summary
profile:142445,2024-07-01 20:43:20,"ARGO profile 156 of float 27129 on 2024-07-01 20:43:20 at (-43.362, 44.054). Temperature range 2.09–6.11 °C. Salinity range 33.76–34.77 PSU. Max pressure 2001.2 dbar.",156,oceanographic,2024-07-01 20:43:20,27129,-43.36212166666667,44.05399333333333,142445,postgresql,profile_summary
profile:142444,2024-07-01 21:38:29,"ARGO profile 149 of float 27129 on 2024-07-01 21:38:29 at (-36.679, 131.773). Temperature range 0.94–15.11 °C. Salinity range 34.39–35.62 PSU. Max pressure 5038.0 dbar.",149,oceanographic,2024-07-01 21:38:29,27129,-36.6789,131.7728,142444,postgresql,profile_summary
profile:142443,2024-07-01 21:57:46,"ARGO profile 142 of float 27129 on 2024-07-01 21:57:46 at (-40.316, 129.771). Temperature range 2.37–12.66 °C. Salinity range 34.36–34.96 PSU. Max pressure 2008.0 dbar.",142,oceanographic,2024-07-01 21:57:46,27129,-40.31631,129.77061,142443,postgresql,profile_summary
profile:142442,2024-07-01 22:01:34,"ARGO profile 150 of float 27129 on 2024-07-01 22:01:34 at (-36.678, 131.770). Temperature range 0.94–15.11 °C. Salinity range 34.40–35.62 PSU. Max pressure 5697.4 dbar.",150,oceanographic,2024-07-01 22:01:34,27129,-36.67823,131.77006,142442,postgresql,profile_summary
profile:142441,2024-07-01 22:07:41,"ARGO profile 163 of float 27129 on 2024-07-01 22:07:41 at (-62.091, 72.910). Temperature range -1.78–1.99 °C. Salinity range 28.44–29.01 PSU. Max pressure 1993.4 dbar.",163,oceanographic,2024-07-01 22:07:41,27129,-62.09121830850769,72.909603683366,142441,postgresql,profile_summary
profile:142440,2024-07-01 22:22:20,"ARGO profile 52 of float 27129 on 2024-07-01 22:22:20 at (-57.168, 94.055). Temperature range 1.07–2.28 °C. Salinity range 33.89–34.74 PSU. Max pressure 1983.3 dbar.",52,oceanographic,2024-07-01 22:22:20,27129,-57.168218333333336,94.054605,142440,postgresql,profile_summary
profile:142439,2024-07-01 22:31:00,"ARGO profile 39 of float 27129 on 2024-07-01 22:31:00 at (-2.901, 86.416). Temperature range 2.76–30.25 °C. Salinity range 34.24–35.33 PSU. Max pressure 2019.4 dbar.",39,oceanographic,2024-07-01 22:31:00,27129,-2.90148,86.41583,142439,postgresql,profile_summary
profile:142438,2024-07-01 22:47:00,"ARGO profile 210 of float 27129 on 2024-07-01 22:47:00 at (-24.056, 91.294). Temperature range 2.39–22.68 °C. Salinity range 34.44–35.82 PSU. Max pressure 1999.5 dbar.",210,oceanographic,2024-07-01 22:47:00,27129,-24.05617,91.293805,142438,postgresql,profile_summary
profile:142437,2024-07-01 23:05:17,"ARGO profile 133 of float 27129 on 2024-07-01 23:05:17 at (-53.377, 64.677). Temperature range 1.66–2.54 °C. Salinity range 33.86–34.76 PSU. Max pressure 2007.4 dbar.",133,oceanographic,2024-07-01 23:05:17,27129,-53.37688,64.67689,142437,postgresql,profile_summary
profile:142436,2024-07-01 23:46:13,"ARGO profile 282 of float 27129 on 2024-07-01 23:46:13 at (-40.171, 88.945). Temperature range 2.57–11.92 °C. Salinity range 28.05–28.54 PSU. Max pressure 1947.3 dbar.",282,oceanographic,2024-07-01 23:46:13,27129,-40.171,88.945,142436,postgresql,profile_summary
profile:142435,2024-07-01 23:55:47,"ARGO profile 148 of float 27129 on 2024-07-01 23:55:47 at (-40.627, 66.888). Temperature range 2.73–14.70 °C. Salinity range 34.36–35.44 PSU. Max pressure 1995.3 dbar.",148,oceanographic,2024-07-01 23:55:47,27129,-40.62694,66.88803,142435,postgresql,profile_summary
profile:142869,2024-07-02 00:15:20,"ARGO profile 202 of float 451843 on 2024-07-02 00:15:20 at (-36.691, 25.614). Temperature range 2.70–16.97 °C. Salinity range 34.41–35.53 PSU. Max pressure 1981.3 dbar.",202,oceanographic,2024-07-02 00:15:20,451843,-36.6915,25.614081666666667,142869,postgresql,profile_summary
profile:142868,2024-07-02 01:04:07,"ARGO profile 76 of float 451843 on 2024-07-02 01:04:07 at (-18.217, 56.114). Temperature range 2.38–25.85 °C. Salinity range 34.57–35.48 PSU. Max pressure 1900.2 dbar.",76,oceanographic,2024-07-02 01:04:07,451843,-18.2172,56.1138,142868,postgresql,profile_summary
profile:142867,2024-07-02 02:17:31,"ARGO profile 207 of float 451843 on 2024-07-02 02:17:31 at (-21.126, 78.509). Temperature range 2.59–24.53 °C. Salinity range 34.46–35.74 PSU. Max pressure 1948.3 dbar.",207,oceanographic,2024-07-02 02:17:31,451843,-21.1263,78.5089,142867,postgresql,profile_summary
profile:142866,2024-07-02 02:31:39,"ARGO profile 126 of float 451843 on 2024-07-02 02:31:39 at (-41.849, 123.872). Temperature range 2.48–12.76 °C. Salinity range 34.37–34.90 PSU. Max pressure 2001.0 dbar.",126,oceanographic,2024-07-02 02:31:39,451843,-41.84886169433594,123.87217712402344,142866,postgresql,profile_summary
profile:142865,2024-07-02 02:33:50,"ARGO profile 84 of float 451843 on 2024-07-02 02:33:50 at (-38.425, 60.162). Temperature range 2.72–15.00 °C. Salinity range 34.35–35.50 PSU. Max pressure 1996.5 dbar.",84,oceanographic,2024-07-02 02:33:50,451843,-38.4252,60.1621,142865,postgresql,profile_summary
profile:142864,2024-07-02 03:00:09,"ARGO profile 208 of float 451843 on 2024-07-02 03:00:09 at (-66.007, 107.865). Temperature range -1.88–-1.57 °C. Salinity range 34.45–34.52 PSU. Max pressure 688.0 dbar.",208,oceanographic,2024-07-02 03:00:09,451843,-66.0065105690917,107.86534705701034,142864,postgresql,profile_summary
profile:142863,2024-07-02 03:18:23,"ARGO profile 31 of float 451843 on 2024-07-02 03:18:23 at (-30.959, 46.809). Temperature range 3.06–19.26 °C. Salinity range 34.40–35.71 PSU. Max pressure 1597.6 dbar.",31,oceanographic,2024-07-02 03:18:23,451843,-30.959,46.8087,142863,postgresql,profile_summary
profile:142862,2024-07-02 03:28:51,"ARGO profile 116 of float 451843 on 2024-07-02 03:28:51 at (-34.455, 41.209). Temperature range 2.82–17.69 °C. Salinity range 34.39–35.67 PSU. Max pressure 1994.6 dbar.",116,oceanographic,2024-07-02 03:28:51,451843,-34.4554,41.2086,142862,postgresql,profile_summary
profile:142861,2024-07-02 04:12:13,"ARGO profile 11 of float 451843 on 2024-07-02 04:12:13 at (-46.576, 101.963). Temperature range 2.45–8.52 °C. Salinity range 34.11–34.83 PSU. Max pressure 1598.5 dbar.",11,oceanographic,2024-07-02 04:12:13,451843,-46.5762,101.9627,142861,postgresql,profile_summary
profile:142860,2024-07-02 05:13:30,"ARGO profile 145 of float 451843 on 2024-07-02 05:13:30 at (-40.203, 91.808). Temperature range 2.49–11.97 °C. Salinity range 34.32–34.99 PSU. Max pressure 2011.6 dbar.",145,oceanographic,2024-07-02 05:13:30,451843,-40.20334,91.80806,142860,postgresql,profile_summary
profile:142859,2024-07-02 05:24:29,"ARGO profile 202 of float 451843 on 2024-07-02 05:24:29 at (6.806, 85.400). Temperature range 2.77–29.31 °C. Salinity range 33.59–35.09 PSU. Max pressure 2007.5 dbar.",202,oceanographic,2024-07-02 05:24:29,451843,6.806,85.4,142859,postgresql,profile_summary
profile:142858,2024-07-02 05:32:19,"ARGO profile 141 of float 451843 on 2024-07-02 05:32:19 at (-35.692, 83.744). Temperature range 2.56–14.45 °C. Salinity range 34.36–35.15 PSU. Max pressure 1997.8 dbar.",141,oceanographic,2024-07-02 05:32:19,451843,-35.692,83.744,142858,postgresql,profile_summary
profile:142857,2024-07-02 06:04:48,"ARGO profile 70 of float 451843 on 2024-07-02 06:04:48 at (-40.443, 48.276). Temperature range 2.62–16.72 °C. Salinity range 34.37–35.56 PSU. Max pressure 2011.6 dbar.",70,oceanographic,2024-07-02 06:04:48,451843,-40.4425,48.27643,142857,postgresql,profile_summary
